2018-01-22 12:32:42 INFO  HomePage:48 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 12:32:42 INFO  HomePage:51 -Clicked on askLifestages and object is [[ChromeDriver: chrome on XP (f8678b8a3c3156a83fe348f9b8009268)] -> xpath: //*[@id='app']/div/div/main/div/div[1]/div[3]/form/div[1]/div/div/div/div[2]/div/textarea]
2018-01-22 18:44:47 INFO  TC_002QuickTips:26 -===================Quick Tips Test Started====================
2018-01-22 18:45:02 INFO  HomePageCards:42 -Clicked on tipsMenu and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="basic-tab-bar"]/a[1]]
2018-01-22 18:45:03 INFO  HomePageCards:45 -Clicked on loadMoreCards and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[2]/div/div/div/button]
2018-01-22 18:45:04 INFO  HomePageCards:48 -Clicked on tipsRandomCards and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[9]/div/div[1]]
2018-01-22 18:45:06 INFO  HomePageCards:52 -Clicked on 1 tipsRightArrow and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[2]]
2018-01-22 18:45:07 INFO  HomePageCards:54 -Clicked on 1 tipsZoomIn and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[1]/button]
2018-01-22 18:45:08 INFO  HomePageCards:56 -Clicked on 1 tipsZoomOut and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[2]/button]
2018-01-22 18:45:08 INFO  HomePageCards:52 -Clicked on 2 tipsRightArrow and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[2]]
2018-01-22 18:45:09 INFO  HomePageCards:54 -Clicked on 2 tipsZoomIn and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[1]/button]
2018-01-22 18:45:09 INFO  HomePageCards:56 -Clicked on 2 tipsZoomOut and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[2]/button]
2018-01-22 18:45:10 INFO  HomePageCards:52 -Clicked on 3 tipsRightArrow and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[2]]
2018-01-22 18:45:10 INFO  HomePageCards:54 -Clicked on 3 tipsZoomIn and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[1]/button]
2018-01-22 18:45:11 INFO  HomePageCards:56 -Clicked on 3 tipsZoomOut and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[2]/button]
2018-01-22 18:45:11 INFO  HomePageCards:52 -Clicked on 4 tipsRightArrow and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[2]]
2018-01-22 18:45:12 INFO  HomePageCards:54 -Clicked on 4 tipsZoomIn and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[1]/button]
2018-01-22 18:45:12 INFO  HomePageCards:56 -Clicked on 4 tipsZoomOut and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[2]/button]
2018-01-22 18:45:13 INFO  HomePageCards:61 -Clicked on 0 tipsLeftArrow and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[1]]
2018-01-22 18:45:14 INFO  HomePageCards:61 -Clicked on 1 tipsLeftArrow and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[1]]
2018-01-22 18:45:14 INFO  HomePageCards:61 -Clicked on 2 tipsLeftArrow and object is [[ChromeDriver: chrome on XP (671f4215784c220d34faa7cfb0e79c80)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[1]]
2018-01-22 18:45:14 INFO  TC_002QuickTips:29 -===================Quick Tips Test End====================
2018-01-22 19:00:41 INFO  TC_003Videos:28 -=====================Videos Test Started==================
2018-01-22 19:00:53 INFO  HomePageVideos:39 -Clicked on videoMenu and object is [[ChromeDriver: chrome on XP (564a19e55fba9c83235a326ca4603fd1)] -> xpath: //*[@id="basic-tab-bar"]/a[2]]
2018-01-22 19:00:54 INFO  HomePageVideos:42 -Clicked on loadMoreVideos and object is [[ChromeDriver: chrome on XP (564a19e55fba9c83235a326ca4603fd1)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[2]/div/div/div/button]
2018-01-22 19:00:55 INFO  HomePageVideos:45 -Clicked on RandomVideo and object is [[ChromeDriver: chrome on XP (564a19e55fba9c83235a326ca4603fd1)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[10]/div/div]
2018-01-22 19:04:05 INFO  TC_003Videos:28 -=====================Videos Test Started==================
2018-01-22 19:04:13 INFO  HomePageVideos:39 -Clicked on videoMenu and object is [[ChromeDriver: chrome on XP (6c8e8dc272995ba624380ef3fb78e77e)] -> xpath: //*[@id="basic-tab-bar"]/a[2]]
2018-01-22 19:04:14 INFO  HomePageVideos:42 -Clicked on loadMoreVideos and object is [[ChromeDriver: chrome on XP (6c8e8dc272995ba624380ef3fb78e77e)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[2]/div/div/div/button]
2018-01-22 19:04:16 INFO  HomePageVideos:45 -Clicked on RandomVideo and object is [[ChromeDriver: chrome on XP (6c8e8dc272995ba624380ef3fb78e77e)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[10]/div/div]
2018-01-29 11:57:37 INFO  TC_002QuickTips:26 -===================Quick Tips Test Started====================
2018-01-29 11:57:48 INFO  HomePageCards:41 -Clicked on tipsMenu and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="basic-tab-bar"]/a[1]]
2018-01-29 11:57:49 INFO  HomePageCards:44 -Clicked on loadMoreCards and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[2]/div/div/div/button]
2018-01-29 11:57:50 INFO  HomePageCards:47 -Clicked on tipsRandomCards and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[9]/div/div[1]]
2018-01-29 11:57:51 INFO  HomePageCards:51 -Clicked on 1 tipsRightArrow and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[2]]
2018-01-29 11:57:51 INFO  HomePageCards:53 -Clicked on 1 tipsZoomIn and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[1]/button]
2018-01-29 11:57:51 INFO  HomePageCards:55 -Clicked on 1 tipsZoomOut and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[2]/button]
2018-01-29 11:57:52 INFO  HomePageCards:51 -Clicked on 2 tipsRightArrow and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/button[2]]
2018-01-29 11:57:52 INFO  HomePageCards:53 -Clicked on 2 tipsZoomIn and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[1]/button]
2018-01-29 11:57:52 INFO  HomePageCards:55 -Clicked on 2 tipsZoomOut and object is [[ChromeDriver: chrome on XP (5af51b04a3c1895c0ea53633020b80e6)] -> xpath: //*[@id="app"]/div/div/main/div/div/div/div[1]/div[17]/div/div[2]/ul[2]/li[2]/button]
